"Nombre","Product_Type","Internal_Reference","Sales_Price","Cost","weight"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","Consumable","PINZAS","515.7211303710938","167.4400","0"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","Consumable","PINZAS","1375.2557373046875","446.5100","0"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","Consumable","PINZAS","458.4186096191406","148.8400","0"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","Consumable","PINZAS","3388","1100.0000","0"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","Consumable","PINZAS","1026.6600341796875","333.3300","0"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","Consumable","PINZAS","1375.260009765625","446.5100","0"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","Consumable","PINZAS","1375.260009765625","446.5100","0"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","Consumable","PINZAS","1375.2557373046875","446.5100","0"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","Consumable","PINZAS","458.4186096191406","148.8400","0"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","Consumable","PINZAS","1083.013916015625","351.6300","0"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","Consumable","PINZAS","1083.010009765625","351.6300","0"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","Consumable","PINZAS","1083.010009765625","351.6300","0"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","Consumable","PINZAS","1083.010009765625","351.6300","0"
"17-HIDROXIPROGESTERONA","Consumable","LABORATORIOS","253","98.0600","0"
"25030 : ENDO BAG DESCARTABLE / NUEVO","Consumable","PINZAS","1547.1600341796875","502.3300","0"
"﻿25030 : ENDO BAG DESCARTABLE / USO","Consumable","PINZAS","192","167.4400","0"
"3-GEL ORAL 3ML / UNIDAD","Consumable","CONCEPTOS","40.040000915527344","13.0000","0"
"7UP / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","10","0.0000","0"
"A.T.M","Consumable","RADIOLOGIA","206.8000030517578","76.7400","0"
"ABDOMEN PTE DE PIE ","Consumable","RADIOLOGIA","198","76.7400","0"
"ABRAZADERAS HANGER DE 2 1/2" / UNIDAD","Consumable","MATERIALES DE COSTRUCCION","0","0.0000","0"
"ABRAZADERAS HANGER DE 2" / UNIDAD","Consumable","MATERIAL DE COSTRUCCION","0","0.0000","0"
"ABRILAR (HEDERA HELIX) / TABLETA / 0.7 G","Consumable","CONCEPTOS","18.149999618530273","6.5000","0"
"ABRILAR JARABE  (HEDERA HELIX) / 100 ML / CC","Consumable","CONCEPTOS","170","170.0000","0"
"ABRILAR JARABE  (HEDERA HELIX) / 100 ML / FRASCO ","Consumable","CONCEPTOS","170","170.0000","0"
"ABSTACK30X : ABSTACK FLEXIBLE 30 TACKERS ABSORBIBLES / NUEVO","Consumable","PINZAS","8265.8603515625","2683.7200","0"
"ABSTACK30X : ABSTACK FLEXIBLE 30 TACKERS ABSORBIBLES / USO","Consumable","PINZAS","1920","2683.7200","0"
"ACEITE MINERAL / ACEITE CC","Consumable","CONCEPTOS","142.5","142.5000","0"
"ACEITE MINERAL / ACEITE GALON","Consumable","OUT","142.5","142.5000","0"
"ACETADIAZOL (ACETADIAZOL) / TABLET / 250 MG","Consumable","CONCEPTOS","103.48999786376953","33.6000","0"
"ACETAMINOFÉN / FRASCO / 120MG/5ML","Consumable","CONCEPTOS","103.48999786376953","33.6000","0"
"ACETAMINOFÉN / JARABE CC / 120MG/5ML","Consumable","CONCEPTOS","0","0.2800","0"
"ACETAMINOFÉN / TABLETA / 500MG","Consumable","CONCEPTOS","1.440000057220459","0.4806","0"
"ACETONA (CETONA-PROPANONA) / CETONA / GALON","Consumable","OUT","127.5","127.5000","0"
"ACETONA (CETONA-PROPANONA) / CETONA CC","Consumable","CONCEPTOS","127.5","127.5000","0"
"ACICLOVIR / SOLUCION INYECTABLE/ 250 MG ","Consumable","CONCEPTOS","261","0.0000","0"
"ACICLOVIR / TABLETA / 200 MG ","Consumable","CONCEPTOS","21.84000015258789","7.0900","0"
"ACICLOVIR / TUBO / 5 G","Consumable","CONCEPTOS","0","49.6085","0"
"ÁCIDO FÓLICO","Consumable","LABORATORIOS","231","89.5300","0"
"ACIDO FOLICO / TABLETA / 5 MG","Consumable","CONCEPTOS","0","0.4419","0"
"ÁCIDO LÁCTICO","Consumable","LABORATORIOS","181.5","70.3500","0"
"ÁCIDO ÚRICO","Consumable","LABORATORIOS","95.69999694824219","37.0900","0"
"ÁCIDO ÚRICO EN ORINA","Consumable","LABORATORIOS","95.69999694824219","37.0900","0"
"ÁCIDO ÚRICO EN ORINA DE 24 HORAS","Consumable","LABORATORIOS","176","68.2200","0"
"ÁCIDO VALPRÓICO","Consumable","LABORATORIOS","275","106.5900","0"
"ACIDO VALPROICO / VIAL / 500MG/5ML","Consumable","CONCEPTOS","291.05999755859375","94.5000","0"
"ÁCIDO VANIL MANDÉLICO","Consumable","LABORATORIOS","475","184.1100","0"
"ACITIP / 60MG/10ML / 200 ML / CC","Consumable","CONCEPTOS","2.619999885559082","170.0000","0"
"ACITIP / 60MG/10ML / 200 ML / FRASCO ","Consumable","CONCEPTOS","523.5999755859375","170.0000","0"
"ACLASTA (ACIDO ZOLEDRONICO) / VIAL / 5MG/100ML","Consumable","CONCEPTOS","7200","5000.0000","0"
"ACTH HORMONA ADRENOCORTICOTRÓPICA","Consumable","LABORATORIOS","220","85.2700","0"
"ACTOS (PIOGLITAZONA) / TABLETA / 15 MG","Consumable","CONCEPTOS","55.2599983215332","18.4186","0"
"ADADIN (NIFEDIPINO) / TABLETA / 20 MG","Consumable","CONCEPTOS","0","5.1318","0"
"ADADIN A.P (NIFEDIPINO) / CAPSULA / 20 MG","Consumable","CONCEPTOS","9.960000038146973","3.3295","0"
"ADALAT OROS (NIFEDIPINO) / TABLETA / 20 MG","Consumable","CONCEPTOS","42.959999084472656","12.3992","0"
"ADALAT OROS (NIFEDIPINO) / TABLETA / 30 MG","Consumable","CONCEPTOS","44.11000061035156","14.3217","0"
"ADAPTADOR DE OXIGENO (TIPO PINITO) / UNIDAD","Consumable","CONCEPTOS","0","7.8700","0"
"ADAPTADOR PARA ASPIRAR","Consumable","CONCEPTOS","205.5","68.7519","0"
"ADAPTIC / SOBRE / UNIDAD","Consumable","CONCEPTOS","0","0.0000","0"
"ADENOSINA (ADENOSINA)/3MG/ML/AMPOLLA","Consumable","OUT","385","125.0000","0"
"ADENOVIRUS -PRUEBA RAPIDA-","Consumable","LABORATORIOS","165","63.9500","0"
"ADENOVIRUS RESPIRATORIO","Consumable","LABORATORIOS","275","106.5900","0"
"ADENURIC (FEBUXOSTAT) / TABLETA / 80 MG","Consumable","CONCEPTOS","8.779999732971191","2.8500","0"
"ADORLAN (DICLOFENACO/TRAMADOL) / TABLETA / 25MG/25MG","Consumable","CONCEPTOS","42.80950164794922","13.9000","0"
"ADRENALINA (EPINEFRINA) / AMPOLLA / 1MG/1ML","Consumable","CONCEPTOS","24.639999389648438","8.0000","0"
"AERIUS (DESLORATADINA) / TABLETA / 5 MG","Consumable","CONCEPTOS","61.5","20.5000","0"
"AEROCHAMBER (CAMARA DE INHALACION) / UNIDAD ","Consumable","CONCEPTOS","482.42999267578125","184.0000","0"
"AERO-OM (SIMETICONA) / FRASCO 15 ML / 100MG/1ML","Consumable","CONCEPTOS","88.25","88.2500","0"
"AERO-OM (SIMETICONA) / FRASCO 60 ML / 100MG/1ML","Consumable","CONCEPTOS","95.67","95.6700","0"
"AERO-OM (SIMETICONA) / SUSPENSION-GOTERO CC (FCO 15 ML) / 100MG/1ML","Consumable","CONCEPTOS","88.25","88.2500","0"
"AERO-OM (SIMETICONA) / SUSPENSION-GOTERO CC (FCO 60 ML) / 100MG/1ML","Consumable","CONCEPTOS","95.67","95.6700","0"
"AERO-OM (SIMETICONA) / TABLETA / 40 MG","Consumable","CONCEPTOS","15.479999542236328","5.1589","0"
"AERO-OM (SIMETICONA) / TABLETA / 80 MG","Consumable","CONCEPTOS","1.92","6.2519","0"
"AERO-OM FORTE (SIMETICONA) / TABLETA / 125 MG","Consumable","CONCEPTOS","13.529999732971191","6.8798","0"
"AEROVAN (SALBUTAMOL) / 2MG/5ML  / CC","Consumable","CONCEPTOS","1.8899999856948853","1.8700","0"
"AEROVAN (SALBUTAMOL) / 2MG/5ML  / FRASCO ","Consumable","CONCEPTOS","226.60000610351562","73.5700","0"
"AEROVAN (SALBUTAMOL) / FRASCO 10 ML / 5MG/ML","Consumable","CONCEPTOS","694.5999755859375","225.5200","0"
"AEROVAN (SALBUTAMOL) / GOTA / (20ML) 5MG/ML","Consumable","CONCEPTOS","3.4700000286102295","0.0000","0"
"AF ADULTO (SIMETICONA) / TABLETA / 125 MG","Consumable","CONCEPTOS","0","3.4806","0"
"AFLOXAN (DIMALEATO DE PROGLUMENTACINA) / TABLETA / 150 MG","Consumable","CONCEPTOS","27.260000228881836","8.8500","0"
"AFRIN (OXIMETAZOLINA) / GOTERO / 50MG/100ML","Consumable","CONCEPTOS","212.49000549316406","70.8295","0"
"AG. + TOXINA A Y B DE CLOSTRIDIUM DIFFICILE","Consumable","LABORATORIOS","550","213.1800","0"
"AG. ENTAMOEBA HISTOLYTICA","Consumable","LABORATORIOS","275","106.5900","0"
"AG. GIARDIA LAMBLIA","Consumable","LABORATORIOS","275","106.5900","0"
"AG. SALMONELLA SPP.","Consumable","LABORATORIOS","275","106.5900","0"
"AG. SHIGELLA SPP.","Consumable","LABORATORIOS","275","106.5900","0"
"AG.TOXINA A Y B COLI O157:H7","Consumable","LABORATORIOS","0","106.5891","0"
"AGRASTAT (TIROFIBAN HIDROCLORURO) / VIAL / 250MCG/1ML","Consumable","CONCEPTOS","10500","4500.0000","0"
"AGUA ESTERIL / AGUA ESTERIL (PISA) / FRASCO /CC","Consumable","CONCEPTOS","0.09000000357627869","0.2000","0"
"AGUA ESTERIL / AGUA ESTERIL / 3500 ML / CC","Consumable","CONCEPTOS","0.019999999552965164","35.0000","0"
"AGUA ESTERIL / AGUA ESTERIL / 3500 ML / GALON","Consumable","CONCEPTOS","35","35.0000","0"
"AGUA OXIGENADA (PEROXIDO DE HIDROGENO) / AGUA OXIGENADA CC","Consumable","CONCEPTOS","32","32.0000","0"
"AGUA OXIGENADA (PEROXIDO DE HIDROGENO) / AGUA OXIGENADA GALON","Consumable","OUT","32","32.0000","0"
"AGUA PURA EMBOTELLADA","Consumable","CONCEPTOS/CAFETERIA","7.480000019073486","2.4300","0"
"AGUA TRIDESTILADA / AGUA TRIDESTILADA / CC","Consumable","CONCEPTOS","14.4","14.4000","0"
"AGUA TRIDESTILADA / AGUA TRIDESTILADA / FRASCO 100 ML","Consumable","CONCEPTOS","14.4","14.4000","0"
"AGUJA EPIDURAL TUOHY / # 18 / UNIDAD","Consumable","CONCEPTOS","177","68.4496","0"
"AGUJA ESPECIAL ADMIX 1/2 / UNIDAD / #18","Consumable","CONCEPTOS","148.61000061035156","48.2500","0"
"AGUJA PARA INSULINA LANTUS / UNIDAD","Consumable","CONCEPTOS","10.779999732971191","3.5000","0"
"AGUJA RAQUI PUNTA DE LAPIZ #25 / UNIDAD","Consumable","CONCEPTOS","172.47999572753906","56.0000","0"
"AGUJA RAQUÍDEA #18 / UNIDAD","Consumable","CONCEPTOS","133.52000427246094","43.3500","0"
"AGUJA RAQUÍDEA #20 / UNIDAD","Consumable","CONCEPTOS","133.52000427246094","43.3500","0"
"AGUJA RAQUÍDEA #22 / UNIDAD","Consumable","CONCEPTOS","133.52000427246094","43.3500","0"
"AGUJA TRUCUT / UNIDAD","Consumable","CONCEPTOS","450","150.0000","0"
"AGUJAS HIPODÉRMICAS  #18 / UNIDAD","Consumable","CONCEPTOS","0.9855999946594238","0.3200","0"
"AGUJAS HIPODÉRMICAS  #20 / UNIDAD","Consumable","CONCEPTOS","0.9855999946594238","0.3200","0"
"AGUJAS HIPODÉRMICAS  #21 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS  #22 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS #23 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS #24 / UNIDAD","Consumable","CONCEPTOS","0.9900000095367432","0.3200","0"
"AGUJAS HIPODÉRMICAS #25 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS #26 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS #27 / UNIDAD","Consumable","CONCEPTOS","0","0.3200","0"
"AGUJAS HIPODÉRMICAS #30 / UNIDAD","Consumable","CONCEPTOS","0.8100000023841858","0.3200","0"
"AINECOX FORTE (MELOXICAN) / TABLETA / 15MG","Consumable","CONCEPTOS","0","5.5504","0"
"AINEZYL (DICLOFENACO) / GOTERO / 15MG/20ML","Consumable","CONCEPTOS","140.91000366210938","45.7500","0"
"AKINETON (BIPERIDENO) / 2 MG / TABLETA","Consumable","CONCEPTOS","0","6.2400","0"
"AKRINOR (CAFEDRINA/TEODRENALINA) / TABLETA / 100MG/5MG","Consumable","CONCEPTOS","15.300000190734863","5.1008","0"
"ALBENDAZOL (ALBENDAZOL) / 200 MG / TABLETAS","Consumable","CONCEPTOS","16.389999389648438","5.3200","0"
"ALBENDAZOL MK / FRASCO / 400MG/10ML","Consumable","CONCEPTOS","0","35.0000","0"
"ALBUGENOL TR (SALBUTAMOL/BROMURO DE IPRATROPIUM) / FRASCO / 2MG/0.4MG / 1ML","Consumable","CONCEPTOS","83.76","83.7600","0"
"ALBUMINA","Consumable","LABORATORIOS","95.69999694824219","37.0900","0"
"ALBUMINA / FRASCO / AL 20%","Consumable","CONCEPTOS","2025","675.0000","0"
"ALBUMINA EN ORINA","Consumable","LABORATORIOS","167.1999969482422","64.8100","0"
"ALCOHOL (ALCOHOL) / 3500 ML / CC","Consumable","CONCEPTOS","75","75.0000","0"
"ALCOHOL (ALCOHOL) / 3500 ML / GALON","Consumable","OUT","75","75.0000","0"
"ALCOHOL SUERO","Consumable","LABORATORIOS","247.5","95.9300","0"
"ALCOR (DESLORATADINA) / 60ML /2.5MG / CC  ","Consumable","CONCEPTOS","4.670000076293945","1.5200","0"
"ALCOR (DESLORATADINA) / 60ML /2.5MG / FRASCO","Consumable","CONCEPTOS","280.2799987792969","91.0000","0"
"ALDACTONE ( ESPIRINOLACTONA ) / TABLETA / 100MG","Consumable","CONCEPTOS","32.130001068115234","10.4186","0"
"ALDAMIN (ALBENDAZOL) / CC / 400MG/20ML","Consumable","CONCEPTOS","0","31.7500","0"
"ALDAMIN (ALBENDAZOL) / FRASCO / 400MG/20ML","Consumable","CONCEPTOS","0","31.7519","0"
"ALDOCUMAR (WARFARINA SODICA) / TABLETAS / 5MG","Consumable","CONCEPTOS","15.239999771118164","5.0814","0"
"ALDOLASA","Consumable","LABORATORIOS","220","85.2700","0"
"ALERCET(CETIRICINA) / TABLETA / 10 MG","Consumable","CONCEPTOS","71.67559814453125","23.2700","0"
"ALEVE (NAPROXENO) / TABLETA / 220 MG","Consumable","CONCEPTOS","0","1.3295","0"
"ALEVIAN DUO (BROMURO DE PINAVERIO/DIMETICONA) / TABLETAS /100MG/300MG","Consumable","CONCEPTOS","33.23540115356445","10.7900","0"
"ALFA FETOPROTEÍNA (AFP)","Consumable","LABORATORIOS","286","110.8500","0"
"ALFERDEX (DEXAMETASONA) UNGUENTO / TUBO / 5 G","Consumable","CONCEPTOS","0","58.3992","0"
"ALFERNICOL  (CLORANFENICOL) / GOTERO / 25MG/15ML","Consumable","CONCEPTOS","129.36000061035156","42.0000","0"
"ALFERNICOL  (CLORANFENICOL) / TUBO / 5 G","Consumable","CONCEPTOS","93.31999969482422","30.3000","0"
"ALGILASA (ALGINATO DE SODIO 2.5 G;BICARBONATO DE SODIO 2.67 G) / FRASCO / 2.5G/2.67G/100ML","Consumable","CONCEPTOS","136.8","136.8000","0"
"ALGODON / ROLLO ","Consumable","CONCEPTOS","0","42.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KABIVEN  CENTRAL 900 CALORIAS 1026 ML","Consumable","CONCEPTOS","0","990.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KABIVEN  PERIFERICA 1400 CALORIAS X 1920 ML ","Consumable","CONCEPTOS","2604","1500.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KABIVEN PERIFERICA 1000 CALORIAS X 1440 ML","Consumable","CONCEPTOS","0","1100.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KABIVEN PERIFERICA 1400 CALORIAS X 1000 ML","Consumable","CONCEPTOS","3819.199951171875","1240.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KABIVEN PERIFERICA 1700 CALORIAS X 2400ML","Consumable","CONCEPTOS","0","1500.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KAVIBEN CENTRAL 1400 CALORIAS X 1540 ML","Consumable","CONCEPTOS","2310","1100.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KAVIBEN CENTRAL 1900 CALORIAS X 2053 ML","Consumable","CONCEPTOS","0","1700.0000","0"
"ALIMENTACION PARENTERAL / BOLSA / KAVIBEN CENTRAL 2300 CALORIAS X 256 ML  ","Consumable","CONCEPTOS","0","999.0000","0"
"ALITRAC (NUTRICION ELEMENTAL CON GLUTAMINA) / SOBRE / 300CAL/76G","Consumable","CONCEPTOS","0","181.4496","0"
"ALLEGRA (CLORHIDRATO DE FEXOFENADINA) / TABLETA / 120 MG ","Consumable","CONCEPTOS","43.20000076293945","20.2403","0"
"ALLEGRA (CLORHIDRATO DE FEXOFENADINA) / TABLETA / 180MG","Consumable","CONCEPTOS","51.900001525878906","18.3217","0"
"ALLEGRA F (FEXOFENADINA/FENILEFRINA) / TABLETA / 60MG/25MG","Consumable","CONCEPTOS","70.83999633789062","23.0000","0"
"ALLEGRA PEDIATRICA  (CLORHIDRATO DE FEXOFENADINA) / JARABE FRASCO / 30 MG/5ML","Consumable","CONCEPTOS","528.77001953125","171.6800","0"
"ALMAGANA 10 LIBRA","Consumable","MATERIALES DE COSTRUCCION","185","100.1900","0"
"ALMUERZO PARA MEDICO RESIDENTE / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","0.25","0.0000","0"
"ALMUERZO PARA PERSONAL / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","15","0.0000","0"
"ALMUERZO PUBLICO / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","45","0.0000","0"
"ALOPURINOL (ALOPURINOL) /TABLETA /10MG ","Consumable","CONCEPTOS","18","3.2016","0"
"ALPRAZOLAN (ALPROZOLAN) / TABLETA /0.5MG","Consumable","CONCEPTOS","0","7.8411","0"
"ALTRULINE ( SERTRALINA)- TABLETAS - 50MG","Consumable","CONCEPTOS","89.06929779052734","28.9200","0"
"ALTRULINE (SERTRALINA) - TABLETA - 100MG ","Consumable","CONCEPTOS","0","30.9186","0"
"AMARYL (GLIMEPIRIDA) TABLETAS 4MG","Consumable","CONCEPTOS","0","12.9806","0"
"AMARYL (GLIMEPIRIDA/GLIMEPIRIDE) TABLETAS 2MG","Consumable","CONCEPTOS","16.649999618530273","8.3992","0"
"AMARYL (GLIMEPIRIDA/METFORMINA) TABLETA 4MG/1000","Consumable","CONCEPTOS","0","14.2713","0"
"AMARYL (GLIMEPIRIDE/CLORHIDRATO DE METFORMINA) TABLETA 2MG/500","Consumable","CONCEPTOS","0","7.4884","0"
"AMARYL(GLIMEPIRIDA/CLORHIDRATO DE  METFORMINA) TABLETAS  2MG/1000","Consumable","CONCEPTOS","0","9.0504","0"
"AMBROXOL (AMBROXOL) FRASCO / 15MG/5ML  ","Consumable","CONCEPTOS","480.4800109863281","156.0000","0"
"AMBURGUESA / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","25","0.0000","0"
"AMBURGUESA PARA PERSONAL / UNIDAD","Consumable","CONCEPTOS/CAFETERIA","13","0.0000","0"
"AMIGDOCAINA (AMIGDOCAINA) / TABLETAS","Consumable","CONCEPTOS","5.480000019073486","1.7800","0"
"AMIKACINA (AMIKACINA)- AMPOLLA - 250MG/ML","Consumable","CONCEPTOS","138.60000610351562","45.0000","0"
"AMILASA ","Consumable","LABORATORIOS","143","55.4300","0"
"AMINOFILINA (AMINOPHYLLINE)- AMPOLLA - 250MG/5ML","Consumable","CONCEPTOS","55.439998626708984","18.0000","0"
"AMINOPLASMAL 10% C / ELECTROLITOS / 500 ML / FRASCO","Consumable","CONCEPTOS","462","150.0000","0"
"AMINOPLASMAL B AL 10% (ELEMENTOS AMINOACIDOS) / FRASCO / 500 ML","Consumable","CONCEPTOS","365","117.6000","0"
"AMISPED (MONTELUKAST) TABLETA 5MG","Consumable","CONCEPTOS","0","17.0000","0"
"AMLODIPINA (BESILATO DE AMLODIPINO) TABLETA 5 MG","Consumable","CONCEPTOS","57.599998474121094","19.2016","0"
"AMOEBRIZ(MEBENDAZOL) 150MG  - TABLETA","Consumable","CONCEPTOS","0","10.3217","0"
"AMONIO","Consumable","LABORATORIOS","275","106.5900","0"
"AMOXICILINA (AMOXICILINA) / TABLETA / 500 MG / UNIDAD","Consumable","CONCEPTOS","25.469999313354492","8.2700","0"
"AMOXICILINA MK (AMOXICILINA) / 500 MG / TABLETA /  UNIDAD","Consumable","CONCEPTOS","0","5.1202","0"
"AMOXICILINA/ACIDO CLAVULINICO 1.2 MG (AMOXICILINA+ACIDO CLAVULINICO) / VIAL / 1.2 MG","Consumable","CONCEPTOS","338.79998779296875","110.0000","0"
"AMPHONEX / ANFOTERICINA LIPOSOMAL / 50 MG / VIAL","Consumable","CONCEPTOS","0","1186.0465","0"
"AMPICILINA - SULBACTAM / FRASCO / 1.5G","Consumable","CONCEPTOS","169.39999389648438","55.0000","0"
"AMPICILINA / FRASCO / 1 GRAMO ","Consumable","CONCEPTOS","123.19999694824219","40.0000","0"
"AMPICILINA / TABLETA / 500 MG / UNIDAD","Consumable","CONCEPTOS","4.190000057220459","1.3600","0"
"AMPLIRON VL 5/160 MG (AMLODIPINO,VALSARTAN) / TABLETAS 5MG / 160MG","Consumable","CONCEPTOS","0","9.3992","0"
"AMPROLENE / AMPOLLA / ESTERELIZAR A GAS","Consumable","CONCEPTOS","517.4400024414062","168.0000","0"
"AMVAL(AMLODIPINO/VALSARTAN ) / 5MG/160MG / TABLETAS","Consumable","CONCEPTOS","49.52000045776367","16.0800","0"
"ANA AC. ANTINUCLEARES LATEX (TAMIZAJE)","Consumable","LABORATORIOS","198","76.7400","0"
"ANARA (PICOSULFATO DE SODIO) / JARABE / 100MG/100ML /125ML / FRASCO","Consumable","CONCEPTOS","357.8999938964844","116.2000","0"
"ANARA (PICOSULFATO DE SODIO) / JARABE / 20ML /FRASCO","Consumable","CONCEPTOS","89.54000091552734","57.4000","0"
"ANARA (PICOSULFATO DE SODIO) / TABLETA / 5MG / UNIDAD","Consumable","CONCEPTOS","5.730000019073486","1.8600","0"
"ANCA C PR-3","Consumable","LABORATORIOS","247.5","95.9300","0"
"ANCA P (ANTI MPO) (AC. ANTI-NEUTRÓFILO)","Consumable","LABORATORIOS","247.5","95.9300","0"
"ANESTESIN CON EPINEFRINA (LIDOCAINA CON EPINEFRINA AL 2 %) /  CC ","Consumable","CONCEPTOS","32.5","32.5000","0"
"ANESTESIN CON EPINEFRINA (LIDOCAINA CON EPINEFRINA AL 2 %) / FRASCO","Consumable","CONCEPTOS","32.5","32.5000","0"
"ANESTESIN SIN EPINEFRINA (LIDOCAINA SIN EPINEFRINA AL 2 %) / FRASCO ","Consumable","CONCEPTOS","28.5","28.5000","0"
"ANESTESIN SIN EPINEFRINA (XILOCAINA SIN EPINEFRINA AL 2 %) / CC","Consumable","CONCEPTOS","28.5","28.5000","0"
"ANGINOVAG (ANTISEPTICO ORAL ) / SPRAY BUCAL / 10ML / FRASCO","Consumable","CONCEPTOS","265.25","86.1200","0"
"ANGIOCATH # 14 /UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANGIOCATH # 16 / UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANGIOCATH # 18 CORTOS /UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANGIOCATH # 20 / UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANGIOCATH # 22 / UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANGIOCATH # 24 / UNIDAD","Consumable","CONCEPTOS","18.479999542236328","6.0000","0"
"ANSO (PENTOSANO POLISULFATO SODIO) / TUBO / 15 G","Consumable","CONCEPTOS","0","146.6008","0"
"ANTEBRAZO AP Y LATERAL ","Consumable","RADIOLOGIA","202.39999389648438","100.1900","0"
"ANTI CARDIOLIPINA IGG (AC. ANTIFOSFOLÍPIDOS)","Consumable","LABORATORIOS","247.5","95.9300","0"
"ANTI CARDIOLIPINA IGM (AC. ANTIFOSFOLÍPIDOS)","Consumable","LABORATORIOS","247.5","95.9300","0"
"ANTI CENTROMERO","Consumable","LABORATORIOS","275","106.5900","0"
"ANTI DNA NATIVO DE DOBLE CADENA (ELISA)","Consumable","LABORATORIOS","275","106.5900","0"
"ANTI DNA NATIVO FLUORESCENCIA","Consumable","LABORATORIOS","385","149.2200","0"
"ANTI MITOCONDRIALES","Consumable","LABORATORIOS","385","149.2200","0"
"ANTI MUSCULOSO LISO (ASMA)","Consumable","LABORATORIOS","385","149.2200","0"
