"Producto","PrecioUnitario","pricelistName","ExternalID","PricelistItemsApplyOn","PricelistItemsComputePrice","PricelistItemsBasedOn","CodigoAlternativo"
"174007 : RECARGA PARA VERSATAK / USO","960.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"174007 : RECARGA PARA VERSATAK / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","1440.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","1440.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","1440.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / NUEVO","1440.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","480.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","480.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","480.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","480.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","480.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"174023 : MULTIFIRE VERSATAK / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","1152.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","1152.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","1152.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","1152.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","230.400000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","230.400000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","230.400000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","230.400000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","5460.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","5460.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","5460.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / NUEVO","5460.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","1820.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","1820.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","1820.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","1820.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176630 : ENDOCLIP DE 5MM / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","1152.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","1152.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","1152.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","1152.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","115.200000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","115.200000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","115.200000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","115.200000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","1152.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","1152.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","1152.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / NUEVO","1152.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","115.200000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","115.200000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","115.200000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","115.200000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176645 : ENDO DISSECT*5 MM INSTRUMENTO / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","3388.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","3388.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","3388.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","3113.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","2838.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / NUEVO","3388.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","1026.660000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","859.990000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","943.320000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","1026.660000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","1026.660000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"176657 : ENDO CLIP II MEDIUM LARGE 10MM / USO ","1026.660000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","1320.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","1320.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","1320.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / NUEVO","1320.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","440.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","440.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","440.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","440.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"178094 : SURGIWAND II CON ESPATULA CON TUBOS Y MANGUERAS / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","1320.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","1320.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","1320.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / NUEVO","1320.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","440.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","440.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","440.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","440.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"178099 : SURGIWAND II CON ESPATULA Y SIN TUBOS / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","696.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","696.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","696.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / NUEVO","696.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","348.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","348.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","348.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","348.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"179303 : THORACOPORT* 11.5 MM TROCAR / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","696.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","696.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","696.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / NUEVO","696.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","348.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","348.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","348.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","348.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"179305 : THORACOPORT* 5.5 MM TROCAR / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"17-HIDROXIPROGESTERONA","253.000000","SUITE","5","Product","Fixed Price","Sales Price","LABORATORIOS"
"17-HIDROXIPROGESTERONA","253.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","LABORATORIOS"
"17-HIDROXIPROGESTERONA","276.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","LABORATORIOS"
"17-HIDROXIPROGESTERONA","253.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","LABORATORIOS"
"17-HIDROXIPROGESTERONA","253.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","LABORATORIOS"
"17-HIDROXIPROGESTERONA","253.000000","PRIVADO","3","Product","Fixed Price","Sales Price","LABORATORIOS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","576.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","576.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","576.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","576.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"25030 : ENDO BAG DESCARTABLE / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"﻿25030 : ENDO BAG DESCARTABLE / USO","192.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"﻿25030 : ENDO BAG DESCARTABLE / USO","192.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
